UNIVERSITY OF PENNSYLVANIA,2012,1439.0
SWARTHMORE COLLEGE,2012,1434.0
RICE UNIVERSITY,2012,1437.0
STANFORD UNIVERSITY,2012,1465.0
FRANKLIN W. OLIN COLLEGE OF ENGINEERING,2012,1492.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2013,1534.0
HARVEY MUDD COLLEGE,2013,1483.0
POMONA COLLEGE,2013,1454.0
YALE UNIVERSITY,2013,1497.0
UNIVERSITY OF CHICAGO,2013,1504.0
NORTHWESTERN UNIVERSITY,2013,1458.0
AMHERST COLLEGE,2013,1434.0
HARVARD UNIVERSITY,2013,1501.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2013,1503.0
WILLIAMS COLLEGE,2013,1439.0
WASHINGTON UNIVERSITY IN ST LOUIS,2013,1474.0
DARTMOUTH COLLEGE,2013,1446.0
PRINCETON UNIVERSITY,2013,1495.0
COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2013,1471.0
DUKE UNIVERSITY,2013,1444.0
UNIVERSITY OF PENNSYLVANIA,2013,1442.0
SWARTHMORE COLLEGE,2013,1442.0
RICE UNIVERSITY,2013,1454.0
STANFORD UNIVERSITY,2013,1466.0
FRANKLIN W OLIN COLLEGE OF ENGINEERING,2013,1475.0
