University,75earn,Ownership,Control
Bloomsburg University of Pennsylvania,57100,1,Public
Florida Agricultural and Mechanical University,56800,1,Public
University of Maine,56800,1,Public
Indiana University-Purdue University-Indianapolis,56700,1,Public
University of Illinois at Springfield,56600,1,Public
College of Charleston,56600,1,Public
Tennessee Technological University,56600,1,Public
University of South Alabama,56500,1,Public
Eastern Illinois University,56500,1,Public
Salem State University,56500,1,Public
Saint Cloud State University,56400,1,Public
SUNY College at Oneonta,56400,1,Public
University of Missouri-St Louis,56300,1,Public
Ohio University-Main Campus,56300,1,Public
Christopher Newport University,56300,1,Public
Westfield State University,56200,1,Public
Central Michigan University,56200,1,Public
University of Central Oklahoma,56100,1,Public
Eastern Washington University,56100,1,Public
Clayton State University,56000,1,Public
University of New Orleans,56000,1,Public
The University of Texas of the Permian Basin,55900,1,Public
Metropolitan State College of Denver,55800,1,Public
Bridgewater State University,55800,1,Public
Columbia College,55800,1,Public
Tarleton State University,55800,1,Public
West Texas A & M University,55800,1,Public
Northern Arizona University,55700,1,Public
Wichita State University,55700,1,Public
East Stroudsburg University of Pennsylvania,55700,1,Public
East Carolina University,55600,1,Public
Texas A & M University-Kingsville,55600,1,Public
University of Wisconsin-Whitewater,55600,1,Public
Wright State University-Main Campus,55500,1,Public
Millersville University of Pennsylvania,55500,1,Public
University of North Carolina at Wilmington,55400,1,Public
Georgia Southern University,55300,1,Public
University of New Mexico-Main Campus,55300,1,Public
SUNY College at Plattsburgh,55300,1,Public
Sam Houston State University,55300,1,Public
University of Northern Iowa,55200,1,Public
University of Louisville,55200,1,Public
SUNY College at Oswego,55200,1,Public
Angelo State University,55200,1,Public
University of the District of Columbia,55100,1,Public
McNeese State University,55100,1,Public
University of Louisiana at Lafayette,54900,1,Public
Kutztown University of Pennsylvania,54900,1,Public
Midwestern State University,54900,1,Public
Grand Valley State University,54700,1,Public
University of Northern Colorado,54600,1,Public
Armstrong Atlantic State University,54500,1,Public
University of Minnesota-Crookston,54500,1,Public
Pittsburg State University,54400,1,Public
University of Wisconsin-Oshkosh,54400,1,Public
University of Louisiana-Monroe,54300,1,Public
Chadron State College,54300,1,Public
CUNY York College,54200,1,Public
SUNY College at Brockport,54200,1,Public
University of Memphis,54200,1,Public
Southern Utah University,54200,1,Public
Florida Gulf Coast University,54200,1,Public
University of South Dakota,54000,1,Public
The University of Texas at El Paso,54000,1,Public
University of Wisconsin-River Falls,54000,1,Public
Boise State University,53700,1,Public
SUNY at Purchase College,53700,1,Public
Rhode Island College,53700,1,Public
Humboldt State University,53600,1,Public
Bowling Green State University-Main Campus,53600,1,Public
Keene State College,53500,1,Public
Dickinson State University,53500,1,Public
Texas A & M International University,53500,1,Public
Georgia College & State University,53400,1,Public
