University,75earn,Ownership,Control
Southwest Baptist University,49400,2,Private Non Profit
MacMurray College,49300,2,Private Non Profit
Midway College,49300,2,Private Non Profit
Wilson College,49300,2,Private Non Profit
Tennessee Wesleyan College,49300,2,Private Non Profit
Hollins University,49300,2,Private Non Profit
Evangel University,49200,2,Private Non Profit
Columbia College-Chicago,49100,2,Private Non Profit
University of Sioux Falls,49100,2,Private Non Profit
Maranatha Baptist Bible College,49100,2,Private Non Profit
Brescia University,49000,2,Private Non Profit
Sojourner-Douglass College,49000,2,Private Non Profit
Pine Manor College,49000,2,Private Non Profit
Olivet College,49000,2,Private Non Profit
Hampshire College,48900,2,Private Non Profit
AIB College of Business,48800,2,Private Non Profit
Morningside College,48800,2,Private Non Profit
Cumberland University,48800,2,Private Non Profit
The University of the Arts,48700,2,Private Non Profit
Wheelock College,48600,2,Private Non Profit
William Peace University,48600,2,Private Non Profit
The New England Conservatory of Music,48500,2,Private Non Profit
Moore College of Art and Design,48500,2,Private Non Profit
Carson-Newman College,48500,2,Private Non Profit
Missouri Valley College,48400,2,Private Non Profit
Simpson University,48300,2,Private Non Profit
New England College,48300,2,Private Non Profit
Heritage University,48300,2,Private Non Profit
Life Pacific College,48200,2,Private Non Profit
Chowan University,48200,2,Private Non Profit
Free Will Baptist Bible College,48200,2,Private Non Profit
Flagler College-St Augustine,48100,2,Private Non Profit
Hannibal-LaGrange University,48100,2,Private Non Profit
Flagler College-Tallahassee,48100,2,Private Non Profit
Barton College,48000,2,Private Non Profit
University of Pikeville,47900,2,Private Non Profit
College of St Joseph,47900,2,Private Non Profit
Ferrum College,47900,2,Private Non Profit
Prescott College,47800,2,Private Non Profit
Alice Lloyd College,47800,2,Private Non Profit
Drury University,47800,2,Private Non Profit
Lake Erie College,47800,2,Private Non Profit
Philadelphia Biblical University-Langhorne,47800,2,Private Non Profit
Erskine College and Seminary,47800,2,Private Non Profit
Stephens College,47700,2,Private Non Profit
Dakota Wesleyan University,47600,2,Private Non Profit
Kansas Wesleyan University,47500,2,Private Non Profit
Huntington University,47300,2,Private Non Profit
The Boston Conservatory,47200,2,Private Non Profit
Paul Smiths College of Arts and Science,47200,2,Private Non Profit
Huntingdon College,47100,2,Private Non Profit
Berea College,47100,2,Private Non Profit
Greensboro College,47100,2,Private Non Profit
Patten University,47000,2,Private Non Profit
William Woods University,47000,2,Private Non Profit
Manhattan Christian College,46900,2,Private Non Profit
Asbury University,46700,2,Private Non Profit
Bethany Lutheran College,46700,2,Private Non Profit
Crown College,46700,2,Private Non Profit
Salem College,46700,2,Private Non Profit
Fisk University,46600,2,Private Non Profit
Milwaukee Institute of Art & Design,46600,2,Private Non Profit
University of the Ozarks,46400,2,Private Non Profit
Sterling College,46400,2,Private Non Profit
St John's College,46400,2,Private Non Profit
Watkins College of Art Design & Film,46400,2,Private Non Profit
Southeastern University,46300,2,Private Non Profit
Davenport University,46300,2,Private Non Profit
Tennessee Temple University,46300,2,Private Non Profit
Iowa Wesleyan College,46200,2,Private Non Profit
Humphreys College-Stockton and Modesto Campuses,46100,2,Private Non Profit
Mitchell College,46100,2,Private Non Profit
Emmanuel College,46100,2,Private Non Profit
Multnomah University,46100,2,Private Non Profit
Central Christian College of Kansas,46000,2,Private Non Profit
Bacone College,46000,2,Private Non Profit
Truett-McConnell College,45700,2,Private Non Profit
Missouri Baptist University,45700,2,Private Non Profit
Keystone College,45700,2,Private Non Profit
Brewton-Parker College,45600,2,Private Non Profit
Mount Marty College,45500,2,Private Non Profit
Southwestern Assemblies of God University,45400,2,Private Non Profit
Anderson University,45300,2,Private Non Profit
Converse College,45300,2,Private Non Profit
College of Visual Arts,45200,2,Private Non Profit
Goddard College,45200,2,Private Non Profit
North Central University,45000,2,Private Non Profit
Lee University,44800,2,Private Non Profit
College of the Ozarks,44700,2,Private Non Profit
Lees-McRae College,44700,2,Private Non Profit
Davis College,44600,2,Private Non Profit
Northland College,44600,2,Private Non Profit
Grace University,44500,2,Private Non Profit
Mars Hill College,44500,2,Private Non Profit
San Francisco Art Institute,44400,2,Private Non Profit
Baptist Bible College and Seminary,44400,2,Private Non Profit
Le Moyne-Owen College,44400,2,Private Non Profit
Grace College and Theological Seminary,44300,2,Private Non Profit
Campbellsville University,44300,2,Private Non Profit
University of the Cumberlands,44300,2,Private Non Profit
The Baptist College of Florida,44100,2,Private Non Profit
Green Mountain College,44100,2,Private Non Profit
Appalachian Bible College,44100,2,Private Non Profit
Gallaudet University,44000,2,Private Non Profit
Lincoln University,44000,2,Private Non Profit
Coker College,44000,2,Private Non Profit
Paul Quinn College,44000,2,Private Non Profit
Johnson C Smith University,43800,2,Private Non Profit
Trinity Baptist College,43700,2,Private Non Profit
Faith Baptist Bible College and Theological Seminary,43700,2,Private Non Profit
Central Methodist University-College of Liberal Arts & Sciences,43700,2,Private Non Profit
York College,43700,2,Private Non Profit
Valley Forge Christian College,43700,2,Private Non Profit
Central Methodist University-College of Graduate & Extended Studies,43700,2,Private Non Profit
Cazenovia College,43600,2,Private Non Profit
Lancaster Bible College,43600,2,Private Non Profit
Cornish College of the Arts,43600,2,Private Non Profit
Virginia Union University,43500,2,Private Non Profit
Williams Baptist College,43300,2,Private Non Profit
Newberry College,43300,2,Private Non Profit
Remington College of Nursing Orlando,43200,2,Private Non Profit
Remington College,43200,2,Private Non Profit
Union College,43100,2,Private Non Profit
Brevard College,43100,2,Private Non Profit
Central Bible College,43000,2,Private Non Profit
Piedmont International University,43000,2,Private Non Profit
Cincinnati Christian University,43000,2,Private Non Profit
Carlos Albizu University-Miami,42900,2,Private Non Profit
Carlos Albizu University-San Juan,42900,2,Private Non Profit
Judson College,42800,2,Private Non Profit
University of Great Falls,42800,2,Private Non Profit
Central Yeshiva Tomchei Tmimim Lubavitz,42800,2,Private Non Profit
Bethune-Cookman University,42700,2,Private Non Profit
Huston-Tillotson University,42700,2,Private Non Profit
Tougaloo College,42600,2,Private Non Profit
Baker College Center for Graduate Studies,42100,2,Private Non Profit
Ozark Christian College,41900,2,Private Non Profit
Martin Methodist College,41900,2,Private Non Profit
Virginia Intermont College,41900,2,Private Non Profit
Lincoln Christian University,41800,2,Private Non Profit
North Greenville University,41800,2,Private Non Profit
Arizona Christian University,41600,2,Private Non Profit
Jones College-Jacksonville,41600,2,Private Non Profit
Marygrove College,41600,2,Private Non Profit
Finlandia University,41600,2,Private Non Profit
Point University,41400,2,Private Non Profit
Kentucky Christian University,41300,2,Private Non Profit
Bennett College for Women,41300,2,Private Non Profit
Voorhees College,41300,2,Private Non Profit
Florida Memorial University,41200,2,Private Non Profit
Montserrat College of Art,41200,2,Private Non Profit
Baptist Bible College and Graduate School,41200,2,Private Non Profit
Saint Augustines College,41100,2,Private Non Profit
Bennington College,40900,2,Private Non Profit
Saint Mary-of-the-Woods College,40800,2,Private Non Profit
Memphis College of Art,40800,2,Private Non Profit
Saint Pauls College,40600,2,Private Non Profit
Universidad Politecnica de Puerto Rico-Hato Rey Campus,40600,2,Private Non Profit
Polytechnic University of Puerto Rico-Miami Campus,40600,2,Private Non Profit
Polytechnic University of Puerto Rico-Orlando,40600,2,Private Non Profit
Columbia International University,40500,2,Private Non Profit
Wiley College,40100,2,Private Non Profit
Toccoa Falls College,40000,2,Private Non Profit
Claflin University,39800,2,Private Non Profit
Shaw University,39600,2,Private Non Profit
Edward Waters College,39400,2,Private Non Profit
Paine College,39400,2,Private Non Profit
Pacific Northwest College of Art,39400,2,Private Non Profit
Burlington College,39400,2,Private Non Profit
Miles College,39100,2,Private Non Profit
Lindsey Wilson College,38900,2,Private Non Profit
Trinity Bible College,38800,2,Private Non Profit
Johnson University,38800,2,Private Non Profit
New England School of Communications,38800,2,Private Non Profit
Beulah Heights University,38700,2,Private Non Profit
Philander Smith College,38600,2,Private Non Profit
Jarvis Christian College,38600,2,Private Non Profit
Stillman College,38500,2,Private Non Profit
Talladega College,38200,2,Private Non Profit
Blue Mountain College,38100,2,Private Non Profit
Kansas City Art Institute,37100,2,Private Non Profit
Texas College,37000,2,Private Non Profit
Universidad Adventista de las Antillas,36900,2,Private Non Profit
Lane College,36800,2,Private Non Profit
Livingstone College,36500,2,Private Non Profit
East-West University,36400,2,Private Non Profit
Martin University,36400,2,Private Non Profit
Naropa University,36300,2,Private Non Profit
Maine College of Art,36100,2,Private Non Profit
Warren Wilson College,36100,2,Private Non Profit
Rabbinical College Bobover Yeshiva Bnei Zion,34300,2,Private Non Profit
Rust College,33700,2,Private Non Profit
Benedict College,33700,2,Private Non Profit
Talmudical Seminary Oholei Torah,33400,2,Private Non Profit
Concordia College Alabama,33300,2,Private Non Profit
Arkansas Baptist College,33300,2,Private Non Profit
Morris College,32600,2,Private Non Profit
American University of Puerto Rico,32200,2,Private Non Profit
American University of Puerto Rico,32200,2,Private Non Profit
Michigan Jewish Institute,32100,2,Private Non Profit
University of Sacred Heart,31500,2,Private Non Profit
Inter American University of Puerto Rico-San German,30800,2,Private Non Profit
Inter American University of Puerto Rico-Aguadilla,30800,2,Private Non Profit
Inter American University of Puerto Rico-Arecibo,30800,2,Private Non Profit
Inter American University of Puerto Rico-Barranquitas,30800,2,Private Non Profit
Inter American University of Puerto Rico-Metro,30800,2,Private Non Profit
Inter American University of Puerto Rico-Ponce,30800,2,Private Non Profit
Inter American University of Puerto Rico-Fajardo,30800,2,Private Non Profit
Inter American University of Puerto Rico-Guayama,30800,2,Private Non Profit
Inter American University of Puerto Rico-Bayamon,30800,2,Private Non Profit
Universidad Metropolitana,30400,2,Private Non Profit
Allen University,29300,2,Private Non Profit
Universidad Del Turabo,28900,2,Private Non Profit
Universidad Del Este,28700,2,Private Non Profit
Caribbean University-Bayamon,27900,2,Private Non Profit
Caribbean University-Carolina,27900,2,Private Non Profit
Caribbean University-Ponce,27900,2,Private Non Profit
Caribbean University-Vega Baja,27900,2,Private Non Profit
Atlantic University College,27800,2,Private Non Profit
Pontifical Catholic University of Puerto Rico-Arecibo,27400,2,Private Non Profit
Pontifical Catholic University of Puerto Rico,27400,2,Private Non Profit
Pontifical Catholic University of Puerto Rico-Mayaguez,27400,2,Private Non Profit
Bayamon Central University,26600,2,Private Non Profit
United Talmudical Seminary,18800,2,Private Non Profit
Yeshiva Gedolah Imrei Yosef D'spinka,18600,2,Private Non Profit
Yeshivath Viznitz,17900,2,Private Non Profit
Capella University,101800,3,Private for Profit
Potomac College-Washington,91900,3,Private for Profit
Potomac College-Herndon,91900,3,Private for Profit
University of Phoenix-Phoenix-Hohokam Campus,79600,3,Private for Profit
University of Phoenix-San Diego Campus,79600,3,Private for Profit
University of Phoenix-Utah Campus,79600,3,Private for Profit
University of Phoenix-Puerto Rico Campus,79600,3,Private for Profit
University of Phoenix-Southern Arizona Campus,79600,3,Private for Profit
University of Phoenix-Colorado Campus,79600,3,Private for Profit
University of Phoenix-Albuquerque Campus,79600,3,Private for Profit
University of Phoenix-Bay Area Campus,79600,3,Private for Profit
University of Phoenix-Southern California Campus,79600,3,Private for Profit
University of Phoenix-Las Vegas Campus,79600,3,Private for Profit
University of Phoenix-Sacramento Valley Campus,79600,3,Private for Profit
University of Phoenix-Hawaii Campus,79600,3,Private for Profit
University of Phoenix-Louisiana Campus,79600,3,Private for Profit
University of Phoenix-Metro Detroit Campus,79600,3,Private for Profit
University of Phoenix-Western Washington Campus,79600,3,Private for Profit
University of Phoenix-Central Florida Campus,79600,3,Private for Profit
University of Phoenix-Oregon Campus,79600,3,Private for Profit
University of Phoenix-South Florida Campus,79600,3,Private for Profit
University of Phoenix-North Florida Campus,79600,3,Private for Profit
University of Phoenix-West Florida Campus,79600,3,Private for Profit
University of Phoenix-Maryland Campus,79600,3,Private for Profit
University of Phoenix-Oklahoma City Campus,79600,3,Private for Profit
University of Phoenix-Tulsa Campus,79600,3,Private for Profit
University of Phoenix-Southern Colorado Campus,79600,3,Private for Profit
University of Phoenix-West Michigan Campus,79600,3,Private for Profit
University of Phoenix-Philadelphia Campus,79600,3,Private for Profit
University of Phoenix-Pittsburgh Campus,79600,3,Private for Profit
University of Phoenix-St Louis Campus,79600,3,Private for Profit
University of Phoenix-Cleveland Campus,79600,3,Private for Profit
University of Phoenix-Boston Campus,79600,3,Private for Profit
University of Phoenix-Dallas Campus,79600,3,Private for Profit
University of Phoenix-Houston Campus,79600,3,Private for Profit
University of Phoenix-Milwaukee Campus,79600,3,Private for Profit
University of Phoenix-Idaho Campus,79600,3,Private for Profit
University of Phoenix-Kansas City Campus,79600,3,Private for Profit
University of Phoenix-Atlanta Campus,79600,3,Private for Profit
University of Phoenix-Chicago Campus,79600,3,Private for Profit
University of Phoenix-Nashville Campus,79600,3,Private for Profit
University of Phoenix-Northern Virginia Campus,79600,3,Private for Profit
University of Phoenix-Cincinnati Campus,79600,3,Private for Profit
University of Phoenix-Wichita Campus,79600,3,Private for Profit
University of Phoenix-Charlotte Campus,79600,3,Private for Profit
University of Phoenix-Indianapolis Campus,79600,3,Private for Profit
University of Phoenix-Columbus Georgia Campus,79600,3,Private for Profit
University of Phoenix-Memphis Campus,79600,3,Private for Profit
University of Phoenix-Columbus Ohio Campus,79600,3,Private for Profit
University of Phoenix-Little Rock Campus,79600,3,Private for Profit
University of Phoenix-Jersey City Campus,79600,3,Private for Profit
University of Phoenix-Minneapolis/St Paul Campus,79600,3,Private for Profit
University of Phoenix-Louisville Campus,79600,3,Private for Profit
University of Phoenix-Central Valley Campus,79600,3,Private for Profit
University of Phoenix-Cheyenne Campus,79600,3,Private for Profit
University of Phoenix-Springfield Campus,79600,3,Private for Profit
University of Phoenix-Des Moines Campus,79600,3,Private for Profit
University of Phoenix-San Antonio Campus,79600,3,Private for Profit
University of Phoenix-Austin Campus,79600,3,Private for Profit
University of Phoenix-Richmond Campus,79600,3,Private for Profit
University of Phoenix-Raleigh Campus,79600,3,Private for Profit
University of Phoenix-Savannah Campus,79600,3,Private for Profit
University of Phoenix-Northern Nevada Campus,79600,3,Private for Profit
University of Phoenix-Omaha Campus,79600,3,Private for Profit
University of Phoenix-Northwest Arkansas Campus,79600,3,Private for Profit
University of Phoenix-Northwest Indiana Campus,79600,3,Private for Profit
University of Phoenix-Madison Campus,79600,3,Private for Profit
University of Phoenix-Columbia Campus,79600,3,Private for Profit
University of Phoenix-Fairfield County Campus,79600,3,Private for Profit
University of Phoenix-Harrisburg Campus,79600,3,Private for Profit
University of Phoenix-Birmingham Campus,79600,3,Private for Profit
University of Phoenix-Augusta Campus,79600,3,Private for Profit
University of Phoenix-Washington DC Campus,79600,3,Private for Profit
University of Phoenix-Chattanooga Campus,79600,3,Private for Profit
Strayer University-District of Columbia,78200,3,Private for Profit
Strayer University-Virginia,78200,3,Private for Profit
Strayer University-Maryland,78200,3,Private for Profit
Strayer University-Tennessee,78200,3,Private for Profit
Strayer University-Pennsylvania,78200,3,Private for Profit
Strayer University-Florida,78200,3,Private for Profit
Strayer University-Delaware,78200,3,Private for Profit
Strayer University-Alabama,78200,3,Private for Profit
Strayer University-Kentucky,78200,3,Private for Profit
Strayer University-North Carolina,78200,3,Private for Profit
Strayer University-New Jersey,78200,3,Private for Profit
Strayer University-West Virginia,78200,3,Private for Profit
Strayer University-Utah,78200,3,Private for Profit
Strayer University-Georgia,78200,3,Private for Profit
Strayer University-South Carolina,78200,3,Private for Profit
Strayer University-Texas,78200,3,Private for Profit
Strayer University-Global Region,78200,3,Private for Profit
Western International University,76400,3,Private for Profit
Daniel Webster College,75000,3,Private for Profit
Chamberlain College of Nursing-Illinois,73500,3,Private for Profit
Chamberlain College of Nursing-Ohio,73500,3,Private for Profit
Chamberlain College of Nursing-Arizona,73500,3,Private for Profit
Chamberlain College of Nursing-Missouri,73500,3,Private for Profit
Grand Canyon University,72100,3,Private for Profit
Colorado Technical University-Colorado Springs,71400,3,Private for Profit
Colorado Technical University-Greenwood Village,71400,3,Private for Profit
American InterContinental University-Atlanta,70300,3,Private for Profit
American InterContinental University-South Florida,70300,3,Private for Profit
American InterContinental University-Houston,70300,3,Private for Profit
University of Advancing Technology,69500,3,Private for Profit
DeVry University-Arizona,68100,3,Private for Profit
DeVry University-California,68100,3,Private for Profit
DeVry University-Georgia,68100,3,Private for Profit
DeVry University-Illinois,68100,3,Private for Profit
DeVry University-Missouri,68100,3,Private for Profit
DeVry University-New Jersey,68100,3,Private for Profit
DeVry University-Ohio,68100,3,Private for Profit
DeVry University-Texas,68100,3,Private for Profit
DeVry University-Wisconsin,68100,3,Private for Profit
DeVry College of New York,68100,3,Private for Profit
DeVry University-Indiana,68100,3,Private for Profit
DeVry University-Florida,68100,3,Private for Profit
DeVry University-Maryland,68100,3,Private for Profit
DeVry University-Virginia,68100,3,Private for Profit
DeVry University-Washington,68100,3,Private for Profit
DeVry University-Colorado,68100,3,Private for Profit
DeVry University-North Carolina,68100,3,Private for Profit
DeVry University-Pennsylvania,68100,3,Private for Profit
DeVry University-Nevada,68100,3,Private for Profit
DeVry University-Oregon,68100,3,Private for Profit
DeVry University-Minnesota,68100,3,Private for Profit
DeVry University-Oklahoma,68100,3,Private for Profit
DeVry University-Utah,68100,3,Private for Profit
DeVry University-Michigan,68100,3,Private for Profit
DeVry University-Tennessee,68100,3,Private for Profit
DeVry University-Kentucky,68100,3,Private for Profit
School of Visual Arts,65600,3,Private for Profit
Mt Sierra College,65300,3,Private for Profit
LIM College,65100,3,Private for Profit
Academy of Art University,62100,3,Private for Profit
The National Hispanic University,61000,3,Private for Profit
Herzing University-Atlanta,58400,3,Private for Profit
National American University-Colorado Springs,57800,3,Private for Profit
National American University-Rapid City,57800,3,Private for Profit
National American University-Albuquerque,57800,3,Private for Profit
National American University-Bloomington,57800,3,Private for Profit
National American University-Ellsworth AFB Extension,57800,3,Private for Profit
The Art Institute of California-San Diego,56100,3,Private for Profit
The Art Institute of California-San Francisco,56100,3,Private for Profit
Argosy University-San Francisco Bay Area,56100,3,Private for Profit
Argosy University-Sarasota,56100,3,Private for Profit
Argosy University-Chicago,56100,3,Private for Profit
Berkeley College-New York,56100,3,Private for Profit
Argosy University-Hawaii,56100,3,Private for Profit
Argosy University-Atlanta,56100,3,Private for Profit
The Art Institute of California-Hollywood,56100,3,Private for Profit
Argosy University-Washington D.C.,56100,3,Private for Profit
Argosy University-Schaumburg,56100,3,Private for Profit
Argosy University-Tampa,56100,3,Private for Profit
The Art Institute of California-Los Angeles,56100,3,Private for Profit
Argosy University-Phoenix,56100,3,Private for Profit
Argosy University-Orange County,56100,3,Private for Profit
Argosy University-Seattle,56100,3,Private for Profit
The Art Institute of California-Orange County,56100,3,Private for Profit
Argosy University-Dallas,56100,3,Private for Profit
Argosy University-Los Angeles,56100,3,Private for Profit
Argosy University-Denver,56100,3,Private for Profit
The Art Institute of California-Sacramento,56100,3,Private for Profit
Argosy University-Inland Empire,56100,3,Private for Profit
Argosy University-Nashville,56100,3,Private for Profit
Argosy University-San Diego,56100,3,Private for Profit
Argosy University-Salt Lake City,56100,3,Private for Profit
Argosy University-Phoenix Online Division,56100,3,Private for Profit
Victory University,55900,3,Private for Profit
Kendall College,55500,3,Private for Profit
Post University,54600,3,Private for Profit
Berkeley College-Woodland Park,53700,3,Private for Profit
Full Sail University,53600,3,Private for Profit
Westwood College-Denver North,53500,3,Private for Profit
Westwood College-Anaheim,53500,3,Private for Profit
Westwood College-Inland Empire,53500,3,Private for Profit
Missouri Tech,53300,3,Private for Profit
The Art Institute of Portland,53200,3,Private for Profit
Santa Fe University of Art and Design,53000,3,Private for Profit
Northwestern College,52900,3,Private for Profit
Kaplan University-Davenport Campus,52800,3,Private for Profit
Harrington College of Design,51700,3,Private for Profit
Chancellor University,51200,3,Private for Profit
Design Institute of San Diego,51100,3,Private for Profit
Five Towns College,51100,3,Private for Profit
Brooks Institute,51000,3,Private for Profit
The Illinois Institute of Art-Chicago,50500,3,Private for Profit
The New England Institute of Art,50500,3,Private for Profit
The Illinois Institute of Art-Schaumburg,50500,3,Private for Profit
The Art Institute of Colorado,50300,3,Private for Profit
Waldorf College,50300,3,Private for Profit
The Art Institute of Houston,50100,3,Private for Profit
The Art Institute of Austin,50100,3,Private for Profit
Northwestern College,49900,3,Private for Profit
Ashford University,49500,3,Private for Profit
Brown College-Mendota Heights,49200,3,Private for Profit
Brown College-Brooklyn Center,49200,3,Private for Profit
Westwood College-Los Angeles,48500,3,Private for Profit
Westwood College-Chicago Loop,48500,3,Private for Profit
The Art Institute of Philadelphia,48400,3,Private for Profit
Salem International University,48200,3,Private for Profit
The Art Institute of Atlanta,48000,3,Private for Profit
The Art Institute of Washington,48000,3,Private for Profit
The Art Institute of Tennessee-Nashville,48000,3,Private for Profit
The Art Institute of Charleston,48000,3,Private for Profit
Platt College-Aurora,47900,3,Private for Profit
The Art Institutes International-Minnesota,47500,3,Private for Profit
Westwood College-Dupage,46400,3,Private for Profit
Westwood College-Atlanta Midtown,46400,3,Private for Profit
South University-West Palm Beach,45900,3,Private for Profit
South University-The Art Institute of Dallas,45900,3,Private for Profit
South University-Columbia,45900,3,Private for Profit
South University-Tampa,45900,3,Private for Profit
The Art Institute of Pittsburgh,45400,3,Private for Profit
Rocky Mountain College of Art and Design,45100,3,Private for Profit
The Art Institute of Fort Lauderdale,45000,3,Private for Profit
McNally Smith College of Music,45000,3,Private for Profit
AI Miami International University of Art and Design,44900,3,Private for Profit
Central Penn College,43700,3,Private for Profit
American Academy of Art,42000,3,Private for Profit
International Academy of Design and Technology-Tampa,41900,3,Private for Profit
International Academy of Design and Technology-Orlando,41900,3,Private for Profit
International Academy of Design and Technology-Henderson,41900,3,Private for Profit
International Academy of Design and Technology-Seattle,41900,3,Private for Profit
International Academy of Design and Technology-Sacramento,41900,3,Private for Profit
Collins College,40700,3,Private for Profit
International Academy of Design and Technology-Chicago,40700,3,Private for Profit
International Academy of Design and Technology-Troy,40700,3,Private for Profit
American Institute,40500,3,Private for Profit
The Art Institute of Las Vegas,39500,3,Private for Profit
The Art Institute of Phoenix,39500,3,Private for Profit
The Art Institute of Tucson,39500,3,Private for Profit
The Art Institute of Indianapolis,39500,3,Private for Profit
Southwest University of Visual Arts-Tucson,38300,3,Private for Profit
Southwest University of Visual Arts-Albuquerque,38300,3,Private for Profit
National University College-Ponce,24800,3,Private for Profit
